File Name,Test Type,Cycle ID,Battery ID,Capacity,File Path,ambient_temperature
00048.csv,impedance,47,B0047,,C:\Projects\Battery Engineering\data,24
00049.csv,discharge,48,B0047,1.311194387,C:\Projects\Battery Engineering\data,4
00050.csv,charge,49,B0047,,C:\Projects\Battery Engineering\data,4
00051.csv,discharge,50,B0047,0,C:\Projects\Battery Engineering\data,4
00052.csv,charge,51,B0047,,C:\Projects\Battery Engineering\data,4
00053.csv,discharge,52,B0047,1.339423441,C:\Projects\Battery Engineering\data,4
00054.csv,charge,53,B0047,,C:\Projects\Battery Engineering\data,4
00055.csv,discharge,54,B0047,1.284915714,C:\Projects\Battery Engineering\data,4
00056.csv,charge,55,B0047,,C:\Projects\Battery Engineering\data,4
00057.csv,discharge,56,B0047,1.281719159,C:\Projects\Battery Engineering\data,4
00058.csv,impedance,57,B0047,,C:\Projects\Battery Engineering\data,24
00059.csv,charge,58,B0047,,C:\Projects\Battery Engineering\data,4
00060.csv,impedance,59,B0047,,C:\Projects\Battery Engineering\data,24
00061.csv,discharge,60,B0047,1.260005164,C:\Projects\Battery Engineering\data,4
00062.csv,charge,61,B0047,,C:\Projects\Battery Engineering\data,4
00063.csv,discharge,62,B0047,1.266070386,C:\Projects\Battery Engineering\data,4
00064.csv,charge,63,B0047,,C:\Projects\Battery Engineering\data,4
00065.csv,discharge,64,B0047,1.241359029,C:\Projects\Battery Engineering\data,4
00066.csv,charge,65,B0047,,C:\Projects\Battery Engineering\data,4
00067.csv,discharge,66,B0047,1.22988737,C:\Projects\Battery Engineering\data,4
00068.csv,charge,67,B0047,,C:\Projects\Battery Engineering\data,4
00069.csv,discharge,68,B0047,1.228088615,C:\Projects\Battery Engineering\data,4
00070.csv,impedance,69,B0047,,C:\Projects\Battery Engineering\data,24
00071.csv,charge,70,B0047,,C:\Projects\Battery Engineering\data,4
00072.csv,impedance,71,B0047,,C:\Projects\Battery Engineering\data,24
00073.csv,discharge,72,B0047,1.213985719,C:\Projects\Battery Engineering\data,4
00074.csv,charge,73,B0047,,C:\Projects\Battery Engineering\data,4
00075.csv,discharge,74,B0047,1.217343506,C:\Projects\Battery Engineering\data,4
00076.csv,charge,75,B0047,,C:\Projects\Battery Engineering\data,4
00077.csv,discharge,76,B0047,1.207344594,C:\Projects\Battery Engineering\data,4
00078.csv,charge,77,B0047,,C:\Projects\Battery Engineering\data,4
00079.csv,discharge,78,B0047,1.188040492,C:\Projects\Battery Engineering\data,4
00080.csv,charge,79,B0047,,C:\Projects\Battery Engineering\data,4
00081.csv,discharge,80,B0047,1.18630475,C:\Projects\Battery Engineering\data,4
00082.csv,impedance,81,B0047,,C:\Projects\Battery Engineering\data,24
00083.csv,charge,82,B0047,,C:\Projects\Battery Engineering\data,4
00084.csv,impedance,83,B0047,,C:\Projects\Battery Engineering\data,24
00085.csv,discharge,84,B0047,1.261393547,C:\Projects\Battery Engineering\data,4
00086.csv,impedance,85,B0047,,C:\Projects\Battery Engineering\data,24
00087.csv,charge,86,B0047,,C:\Projects\Battery Engineering\data,4
00088.csv,impedance,87,B0047,,C:\Projects\Battery Engineering\data,24
00089.csv,discharge,88,B0047,1.264824616,C:\Projects\Battery Engineering\data,4
00090.csv,charge,89,B0047,,C:\Projects\Battery Engineering\data,4
00091.csv,discharge,90,B0047,1.246649455,C:\Projects\Battery Engineering\data,4
00092.csv,charge,91,B0047,,C:\Projects\Battery Engineering\data,4
00093.csv,discharge,92,B0047,1.233392415,C:\Projects\Battery Engineering\data,4
00094.csv,charge,93,B0047,,C:\Projects\Battery Engineering\data,4
00095.csv,discharge,94,B0047,1.212925007,C:\Projects\Battery Engineering\data,4
00096.csv,charge,95,B0047,,C:\Projects\Battery Engineering\data,4
00097.csv,discharge,96,B0047,1.19991066,C:\Projects\Battery Engineering\data,4
00098.csv,impedance,97,B0047,,C:\Projects\Battery Engineering\data,24
00099.csv,charge,98,B0047,,C:\Projects\Battery Engineering\data,4
00100.csv,impedance,99,B0047,,C:\Projects\Battery Engineering\data,24
00101.csv,discharge,100,B0047,1.190255904,C:\Projects\Battery Engineering\data,4
00102.csv,charge,101,B0047,,C:\Projects\Battery Engineering\data,4
00103.csv,discharge,102,B0047,1.18925638,C:\Projects\Battery Engineering\data,4
00104.csv,charge,103,B0047,,C:\Projects\Battery Engineering\data,4
00105.csv,discharge,104,B0047,1.167069685,C:\Projects\Battery Engineering\data,4
00106.csv,charge,105,B0047,,C:\Projects\Battery Engineering\data,4
00107.csv,discharge,106,B0047,1.16153484,C:\Projects\Battery Engineering\data,4
00108.csv,charge,107,B0047,,C:\Projects\Battery Engineering\data,4
00109.csv,discharge,108,B0047,1.155556384,C:\Projects\Battery Engineering\data,4
00110.csv,impedance,109,B0047,,C:\Projects\Battery Engineering\data,24
00111.csv,charge,110,B0047,,C:\Projects\Battery Engineering\data,4
00112.csv,impedance,111,B0047,,C:\Projects\Battery Engineering\data,24
00113.csv,discharge,112,B0047,1.148852467,C:\Projects\Battery Engineering\data,4
00114.csv,charge,113,B0047,,C:\Projects\Battery Engineering\data,4
00115.csv,discharge,114,B0047,1.143572987,C:\Projects\Battery Engineering\data,4
00116.csv,charge,115,B0047,,C:\Projects\Battery Engineering\data,4
00117.csv,discharge,116,B0047,1.141801538,C:\Projects\Battery Engineering\data,4
00118.csv,charge,117,B0047,,C:\Projects\Battery Engineering\data,4
00119.csv,discharge,118,B0047,1.136058648,C:\Projects\Battery Engineering\data,4
00120.csv,charge,119,B0047,,C:\Projects\Battery Engineering\data,4
00121.csv,discharge,120,B0047,1.123636468,C:\Projects\Battery Engineering\data,4
00122.csv,impedance,121,B0047,,C:\Projects\Battery Engineering\data,24
00123.csv,charge,122,B0047,,C:\Projects\Battery Engineering\data,4
00124.csv,impedance,123,B0047,,C:\Projects\Battery Engineering\data,24
00125.csv,discharge,124,B0047,1.13204989,C:\Projects\Battery Engineering\data,4
00126.csv,charge,125,B0047,,C:\Projects\Battery Engineering\data,4
00127.csv,discharge,126,B0047,1.117010176,C:\Projects\Battery Engineering\data,4
00128.csv,charge,127,B0047,,C:\Projects\Battery Engineering\data,4
00129.csv,discharge,128,B0047,1.12004304,C:\Projects\Battery Engineering\data,4
00130.csv,charge,129,B0047,,C:\Projects\Battery Engineering\data,4
00131.csv,discharge,130,B0047,1.105977345,C:\Projects\Battery Engineering\data,4
00132.csv,charge,131,B0047,,C:\Projects\Battery Engineering\data,4
00133.csv,discharge,132,B0047,0,C:\Projects\Battery Engineering\data,4
00134.csv,impedance,133,B0047,,C:\Projects\Battery Engineering\data,24
00135.csv,charge,134,B0047,,C:\Projects\Battery Engineering\data,4
00136.csv,impedance,135,B0047,,C:\Projects\Battery Engineering\data,24
00137.csv,discharge,136,B0047,1.190790237,C:\Projects\Battery Engineering\data,4
00138.csv,impedance,137,B0047,,C:\Projects\Battery Engineering\data,24
00139.csv,charge,138,B0047,,C:\Projects\Battery Engineering\data,4
00140.csv,impedance,139,B0047,,C:\Projects\Battery Engineering\data,24
00141.csv,discharge,140,B0047,1.201238709,C:\Projects\Battery Engineering\data,4
00142.csv,charge,141,B0047,,C:\Projects\Battery Engineering\data,4
00143.csv,discharge,142,B0047,1.190690955,C:\Projects\Battery Engineering\data,4
00144.csv,charge,143,B0047,,C:\Projects\Battery Engineering\data,4
00145.csv,discharge,144,B0047,1.176437573,C:\Projects\Battery Engineering\data,4
00146.csv,charge,145,B0047,,C:\Projects\Battery Engineering\data,4
00147.csv,discharge,146,B0047,1.162811037,C:\Projects\Battery Engineering\data,4
00148.csv,charge,147,B0047,,C:\Projects\Battery Engineering\data,4
00149.csv,discharge,148,B0047,1.151615284,C:\Projects\Battery Engineering\data,4
00150.csv,impedance,149,B0047,,C:\Projects\Battery Engineering\data,24
00151.csv,charge,150,B0047,,C:\Projects\Battery Engineering\data,4
00152.csv,impedance,151,B0047,,C:\Projects\Battery Engineering\data,24
00153.csv,discharge,152,B0047,1.15836735,C:\Projects\Battery Engineering\data,4
00154.csv,impedance,153,B0047,,C:\Projects\Battery Engineering\data,24
00155.csv,charge,154,B0047,,C:\Projects\Battery Engineering\data,4
00156.csv,impedance,155,B0047,,C:\Projects\Battery Engineering\data,24
00157.csv,discharge,156,B0047,1.169228529,C:\Projects\Battery Engineering\data,4
00158.csv,charge,157,B0047,,C:\Projects\Battery Engineering\data,4
00159.csv,discharge,158,B0047,1.158814848,C:\Projects\Battery Engineering\data,4
00160.csv,charge,159,B0047,,C:\Projects\Battery Engineering\data,4
00161.csv,discharge,160,B0047,1.143958815,C:\Projects\Battery Engineering\data,4
00162.csv,charge,161,B0047,,C:\Projects\Battery Engineering\data,4
00163.csv,discharge,162,B0047,1.138394107,C:\Projects\Battery Engineering\data,4
00164.csv,charge,163,B0047,,C:\Projects\Battery Engineering\data,4
00165.csv,discharge,164,B0047,0,C:\Projects\Battery Engineering\data,4
00166.csv,impedance,165,B0047,,C:\Projects\Battery Engineering\data,24
00167.csv,charge,166,B0047,,C:\Projects\Battery Engineering\data,4
00168.csv,impedance,167,B0047,,C:\Projects\Battery Engineering\data,24
00169.csv,discharge,168,B0047,1.221310285,C:\Projects\Battery Engineering\data,4
00170.csv,impedance,169,B0047,,C:\Projects\Battery Engineering\data,24
00171.csv,charge,170,B0047,,C:\Projects\Battery Engineering\data,4
00172.csv,impedance,171,B0047,,C:\Projects\Battery Engineering\data,24
00173.csv,discharge,172,B0047,1.203106298,C:\Projects\Battery Engineering\data,4
00174.csv,charge,173,B0047,,C:\Projects\Battery Engineering\data,4
00175.csv,discharge,174,B0047,1.189714711,C:\Projects\Battery Engineering\data,4
00176.csv,charge,175,B0047,,C:\Projects\Battery Engineering\data,4
00177.csv,discharge,176,B0047,1.177422569,C:\Projects\Battery Engineering\data,4
00178.csv,charge,177,B0047,,C:\Projects\Battery Engineering\data,4
00179.csv,discharge,178,B0047,1.158443027,C:\Projects\Battery Engineering\data,4
00180.csv,charge,179,B0047,,C:\Projects\Battery Engineering\data,4
00181.csv,discharge,180,B0047,1.156708752,C:\Projects\Battery Engineering\data,4
00182.csv,impedance,181,B0047,,C:\Projects\Battery Engineering\data,24
00183.csv,charge,182,B0047,,C:\Projects\Battery Engineering\data,4
00184.csv,impedance,183,B0047,,C:\Projects\Battery Engineering\data,24
00185.csv,discharge,0,B0045,1.081979388,C:\Projects\Battery Engineering\data,4
00186.csv,impedance,1,B0045,,C:\Projects\Battery Engineering\data,24
00187.csv,charge,2,B0045,,C:\Projects\Battery Engineering\data,4
00188.csv,impedance,3,B0045,,C:\Projects\Battery Engineering\data,24
00189.csv,discharge,4,B0045,0.927952405,C:\Projects\Battery Engineering\data,4
00190.csv,charge,5,B0045,,C:\Projects\Battery Engineering\data,4
00191.csv,discharge,6,B0045,0.885193608,C:\Projects\Battery Engineering\data,4
00192.csv,charge,7,B0045,,C:\Projects\Battery Engineering\data,4
00193.csv,discharge,8,B0045,0.85810107,C:\Projects\Battery Engineering\data,4
00194.csv,charge,9,B0045,,C:\Projects\Battery Engineering\data,4
00195.csv,discharge,10,B0045,0.840935221,C:\Projects\Battery Engineering\data,4
00196.csv,charge,11,B0045,,C:\Projects\Battery Engineering\data,4
00197.csv,discharge,12,B0045,0.824547194,C:\Projects\Battery Engineering\data,4
00198.csv,impedance,13,B0045,,C:\Projects\Battery Engineering\data,24
00199.csv,charge,14,B0045,,C:\Projects\Battery Engineering\data,4
00200.csv,impedance,15,B0045,,C:\Projects\Battery Engineering\data,24
00201.csv,discharge,16,B0045,0.793596042,C:\Projects\Battery Engineering\data,4
00202.csv,impedance,17,B0045,,C:\Projects\Battery Engineering\data,24
00203.csv,charge,18,B0045,,C:\Projects\Battery Engineering\data,4
00204.csv,impedance,19,B0045,,C:\Projects\Battery Engineering\data,24
00205.csv,discharge,20,B0045,0.818367609,C:\Projects\Battery Engineering\data,4
00206.csv,charge,21,B0045,,C:\Projects\Battery Engineering\data,4
00207.csv,discharge,22,B0045,0.797764428,C:\Projects\Battery Engineering\data,4
00208.csv,charge,23,B0045,,C:\Projects\Battery Engineering\data,4
00209.csv,discharge,24,B0045,0.799377741,C:\Projects\Battery Engineering\data,4
00210.csv,charge,25,B0045,,C:\Projects\Battery Engineering\data,4
00211.csv,discharge,26,B0045,0.778310744,C:\Projects\Battery Engineering\data,4
00212.csv,charge,27,B0045,,C:\Projects\Battery Engineering\data,4
00213.csv,discharge,28,B0045,0.780373823,C:\Projects\Battery Engineering\data,4
00214.csv,impedance,29,B0045,,C:\Projects\Battery Engineering\data,24
00215.csv,charge,30,B0045,,C:\Projects\Battery Engineering\data,4
00216.csv,impedance,31,B0045,,C:\Projects\Battery Engineering\data,24
00217.csv,discharge,32,B0045,0.771305825,C:\Projects\Battery Engineering\data,4
00218.csv,impedance,33,B0045,,C:\Projects\Battery Engineering\data,24
00219.csv,charge,34,B0045,,C:\Projects\Battery Engineering\data,4
00220.csv,impedance,35,B0045,,C:\Projects\Battery Engineering\data,24
00221.csv,discharge,36,B0045,0.795279017,C:\Projects\Battery Engineering\data,4
00222.csv,charge,37,B0045,,C:\Projects\Battery Engineering\data,4
00223.csv,discharge,38,B0045,0.782412817,C:\Projects\Battery Engineering\data,4
00224.csv,charge,39,B0045,,C:\Projects\Battery Engineering\data,4
00225.csv,discharge,40,B0045,0.764941499,C:\Projects\Battery Engineering\data,4
00226.csv,charge,41,B0045,,C:\Projects\Battery Engineering\data,4
00227.csv,discharge,42,B0045,0.754489943,C:\Projects\Battery Engineering\data,4
00228.csv,charge,43,B0045,,C:\Projects\Battery Engineering\data,4
00229.csv,discharge,44,B0045,0.750404898,C:\Projects\Battery Engineering\data,4
00230.csv,impedance,45,B0045,,C:\Projects\Battery Engineering\data,24
00231.csv,charge,46,B0045,,C:\Projects\Battery Engineering\data,4
00232.csv,impedance,47,B0045,,C:\Projects\Battery Engineering\data,24
00233.csv,discharge,48,B0045,0.740725811,C:\Projects\Battery Engineering\data,4
00234.csv,charge,49,B0045,,C:\Projects\Battery Engineering\data,4
00235.csv,discharge,50,B0045,0,C:\Projects\Battery Engineering\data,4
00236.csv,charge,51,B0045,,C:\Projects\Battery Engineering\data,4
00237.csv,discharge,52,B0045,0.730852559,C:\Projects\Battery Engineering\data,4
00238.csv,charge,53,B0045,,C:\Projects\Battery Engineering\data,4
00239.csv,discharge,54,B0045,0.728725585,C:\Projects\Battery Engineering\data,4
00240.csv,charge,55,B0045,,C:\Projects\Battery Engineering\data,4
00241.csv,discharge,56,B0045,0.716102338,C:\Projects\Battery Engineering\data,4
00242.csv,impedance,57,B0045,,C:\Projects\Battery Engineering\data,24
00243.csv,charge,58,B0045,,C:\Projects\Battery Engineering\data,4
00244.csv,impedance,59,B0045,,C:\Projects\Battery Engineering\data,24
00245.csv,discharge,60,B0045,0.712920483,C:\Projects\Battery Engineering\data,4
00246.csv,charge,61,B0045,,C:\Projects\Battery Engineering\data,4
00247.csv,discharge,62,B0045,0.714199183,C:\Projects\Battery Engineering\data,4
00248.csv,charge,63,B0045,,C:\Projects\Battery Engineering\data,4
00249.csv,discharge,64,B0045,0.719057082,C:\Projects\Battery Engineering\data,4
00250.csv,charge,65,B0045,,C:\Projects\Battery Engineering\data,4
00251.csv,discharge,66,B0045,0.717397543,C:\Projects\Battery Engineering\data,4
00252.csv,charge,67,B0045,,C:\Projects\Battery Engineering\data,4
00253.csv,discharge,68,B0045,0.70710275,C:\Projects\Battery Engineering\data,4
00254.csv,impedance,69,B0045,,C:\Projects\Battery Engineering\data,24
00255.csv,charge,70,B0045,,C:\Projects\Battery Engineering\data,4
00256.csv,impedance,71,B0045,,C:\Projects\Battery Engineering\data,24
00257.csv,discharge,72,B0045,0.703531207,C:\Projects\Battery Engineering\data,4
00258.csv,charge,73,B0045,,C:\Projects\Battery Engineering\data,4
00259.csv,discharge,74,B0045,0.694110828,C:\Projects\Battery Engineering\data,4
00260.csv,charge,75,B0045,,C:\Projects\Battery Engineering\data,4
00261.csv,discharge,76,B0045,0.691411439,C:\Projects\Battery Engineering\data,4
00262.csv,charge,77,B0045,,C:\Projects\Battery Engineering\data,4
00263.csv,discharge,78,B0045,0.69715518,C:\Projects\Battery Engineering\data,4
00264.csv,charge,79,B0045,,C:\Projects\Battery Engineering\data,4
00265.csv,discharge,80,B0045,0.683246022,C:\Projects\Battery Engineering\data,4
00266.csv,impedance,81,B0045,,C:\Projects\Battery Engineering\data,24
00267.csv,charge,82,B0045,,C:\Projects\Battery Engineering\data,4
00268.csv,impedance,83,B0045,,C:\Projects\Battery Engineering\data,24
00269.csv,discharge,84,B0045,0.682202932,C:\Projects\Battery Engineering\data,4
00270.csv,impedance,85,B0045,,C:\Projects\Battery Engineering\data,24
00271.csv,charge,86,B0045,,C:\Projects\Battery Engineering\data,4
00272.csv,impedance,87,B0045,,C:\Projects\Battery Engineering\data,24
00273.csv,discharge,88,B0045,0.728952921,C:\Projects\Battery Engineering\data,4
00274.csv,charge,89,B0045,,C:\Projects\Battery Engineering\data,4
00275.csv,discharge,90,B0045,0.713932176,C:\Projects\Battery Engineering\data,4
00276.csv,charge,91,B0045,,C:\Projects\Battery Engineering\data,4
00277.csv,discharge,92,B0045,0.695773175,C:\Projects\Battery Engineering\data,4
00278.csv,charge,93,B0045,,C:\Projects\Battery Engineering\data,4
00279.csv,discharge,94,B0045,0.701831296,C:\Projects\Battery Engineering\data,4
00280.csv,charge,95,B0045,,C:\Projects\Battery Engineering\data,4
00281.csv,discharge,96,B0045,0.691180824,C:\Projects\Battery Engineering\data,4
00282.csv,impedance,97,B0045,,C:\Projects\Battery Engineering\data,24
00283.csv,charge,98,B0045,,C:\Projects\Battery Engineering\data,4
00284.csv,impedance,99,B0045,,C:\Projects\Battery Engineering\data,24
00285.csv,discharge,100,B0045,0.684327975,C:\Projects\Battery Engineering\data,4
00286.csv,charge,101,B0045,,C:\Projects\Battery Engineering\data,4
00287.csv,discharge,102,B0045,0.674139491,C:\Projects\Battery Engineering\data,4
00288.csv,charge,103,B0045,,C:\Projects\Battery Engineering\data,4
00289.csv,discharge,104,B0045,0.667007017,C:\Projects\Battery Engineering\data,4
00290.csv,charge,105,B0045,,C:\Projects\Battery Engineering\data,4
00291.csv,discharge,106,B0045,0.680408512,C:\Projects\Battery Engineering\data,4
00292.csv,charge,107,B0045,,C:\Projects\Battery Engineering\data,4
00293.csv,discharge,108,B0045,0.661786406,C:\Projects\Battery Engineering\data,4
00294.csv,impedance,109,B0045,,C:\Projects\Battery Engineering\data,24
00295.csv,charge,110,B0045,,C:\Projects\Battery Engineering\data,4
00296.csv,impedance,111,B0045,,C:\Projects\Battery Engineering\data,24
00297.csv,discharge,112,B0045,0.662316873,C:\Projects\Battery Engineering\data,4
00298.csv,charge,113,B0045,,C:\Projects\Battery Engineering\data,4
00299.csv,discharge,114,B0045,0.667935836,C:\Projects\Battery Engineering\data,4
00300.csv,charge,115,B0045,,C:\Projects\Battery Engineering\data,4
00301.csv,discharge,116,B0045,0.648899089,C:\Projects\Battery Engineering\data,4
00302.csv,charge,117,B0045,,C:\Projects\Battery Engineering\data,4
00303.csv,discharge,118,B0045,0.650363913,C:\Projects\Battery Engineering\data,4
00304.csv,charge,119,B0045,,C:\Projects\Battery Engineering\data,4
00305.csv,discharge,120,B0045,0.657207769,C:\Projects\Battery Engineering\data,4
00306.csv,impedance,121,B0045,,C:\Projects\Battery Engineering\data,24
00307.csv,charge,122,B0045,,C:\Projects\Battery Engineering\data,4
00308.csv,impedance,123,B0045,,C:\Projects\Battery Engineering\data,24
00309.csv,discharge,124,B0045,0.636351746,C:\Projects\Battery Engineering\data,4
00310.csv,charge,125,B0045,,C:\Projects\Battery Engineering\data,4
00311.csv,discharge,126,B0045,0.653644936,C:\Projects\Battery Engineering\data,4
00312.csv,charge,127,B0045,,C:\Projects\Battery Engineering\data,4
00313.csv,discharge,128,B0045,0.639142827,C:\Projects\Battery Engineering\data,4
00314.csv,charge,129,B0045,,C:\Projects\Battery Engineering\data,4
00315.csv,discharge,130,B0045,0.648220605,C:\Projects\Battery Engineering\data,4
00316.csv,charge,131,B0045,,C:\Projects\Battery Engineering\data,4
00317.csv,discharge,132,B0045,0.628795747,C:\Projects\Battery Engineering\data,4
00318.csv,impedance,133,B0045,,C:\Projects\Battery Engineering\data,24
00319.csv,charge,134,B0045,,C:\Projects\Battery Engineering\data,4
00320.csv,impedance,135,B0045,,C:\Projects\Battery Engineering\data,24
00321.csv,discharge,136,B0045,0.638057185,C:\Projects\Battery Engineering\data,4
00322.csv,impedance,137,B0045,,C:\Projects\Battery Engineering\data,24
00323.csv,charge,138,B0045,,C:\Projects\Battery Engineering\data,4
00324.csv,impedance,139,B0045,,C:\Projects\Battery Engineering\data,24
00325.csv,discharge,140,B0045,0.655482505,C:\Projects\Battery Engineering\data,4
00326.csv,charge,141,B0045,,C:\Projects\Battery Engineering\data,4
00327.csv,discharge,142,B0045,0.648493484,C:\Projects\Battery Engineering\data,4
00328.csv,charge,143,B0045,,C:\Projects\Battery Engineering\data,4
00329.csv,discharge,144,B0045,0.645407169,C:\Projects\Battery Engineering\data,4
00330.csv,charge,145,B0045,,C:\Projects\Battery Engineering\data,4
00331.csv,discharge,146,B0045,0.642700803,C:\Projects\Battery Engineering\data,4
00332.csv,charge,147,B0045,,C:\Projects\Battery Engineering\data,4
00333.csv,discharge,148,B0045,0.635245488,C:\Projects\Battery Engineering\data,4
00334.csv,impedance,149,B0045,,C:\Projects\Battery Engineering\data,24
00335.csv,charge,150,B0045,,C:\Projects\Battery Engineering\data,4
00336.csv,impedance,151,B0045,,C:\Projects\Battery Engineering\data,24
00337.csv,discharge,152,B0045,0.615676002,C:\Projects\Battery Engineering\data,4
00338.csv,impedance,153,B0045,,C:\Projects\Battery Engineering\data,24
00339.csv,charge,154,B0045,,C:\Projects\Battery Engineering\data,4
00340.csv,impedance,155,B0045,,C:\Projects\Battery Engineering\data,24
00341.csv,discharge,156,B0045,0.617083368,C:\Projects\Battery Engineering\data,4
00342.csv,charge,157,B0045,,C:\Projects\Battery Engineering\data,4
00343.csv,discharge,158,B0045,0.643422739,C:\Projects\Battery Engineering\data,4
00344.csv,charge,159,B0045,,C:\Projects\Battery Engineering\data,4
00345.csv,discharge,160,B0045,0.627812443,C:\Projects\Battery Engineering\data,4
00346.csv,charge,161,B0045,,C:\Projects\Battery Engineering\data,4
00347.csv,discharge,162,B0045,0.629007832,C:\Projects\Battery Engineering\data,4
00348.csv,charge,163,B0045,,C:\Projects\Battery Engineering\data,4
00349.csv,discharge,164,B0045,0,C:\Projects\Battery Engineering\data,4
00350.csv,impedance,165,B0045,,C:\Projects\Battery Engineering\data,24
00351.csv,charge,166,B0045,,C:\Projects\Battery Engineering\data,4
00352.csv,impedance,167,B0045,,C:\Projects\Battery Engineering\data,24
00353.csv,discharge,168,B0045,0.626635557,C:\Projects\Battery Engineering\data,4
00354.csv,impedance,169,B0045,,C:\Projects\Battery Engineering\data,24
00355.csv,charge,170,B0045,,C:\Projects\Battery Engineering\data,4
00356.csv,impedance,171,B0045,,C:\Projects\Battery Engineering\data,24
00357.csv,discharge,172,B0045,0.649581352,C:\Projects\Battery Engineering\data,4
00358.csv,charge,173,B0045,,C:\Projects\Battery Engineering\data,4
00359.csv,discharge,174,B0045,0.633748518,C:\Projects\Battery Engineering\data,4
00360.csv,charge,175,B0045,,C:\Projects\Battery Engineering\data,4
00361.csv,discharge,176,B0045,0.629855093,C:\Projects\Battery Engineering\data,4
00362.csv,charge,177,B0045,,C:\Projects\Battery Engineering\data,4
00363.csv,discharge,178,B0045,0.618306378,C:\Projects\Battery Engineering\data,4
00364.csv,charge,179,B0045,,C:\Projects\Battery Engineering\data,4
00365.csv,discharge,180,B0045,0.606947617,C:\Projects\Battery Engineering\data,4
00366.csv,impedance,181,B0045,,C:\Projects\Battery Engineering\data,24
00367.csv,charge,182,B0045,,C:\Projects\Battery Engineering\data,4
00368.csv,impedance,183,B0045,,C:\Projects\Battery Engineering\data,24
00369.csv,discharge,0,B0048,1.657995579,C:\Projects\Battery Engineering\data,4
00370.csv,impedance,1,B0048,,C:\Projects\Battery Engineering\data,24
00371.csv,charge,2,B0048,,C:\Projects\Battery Engineering\data,4
